car_name,car_status,car_price,dealer_name,dealer_Rate,dealer_reviews,dealer_location,tel_number,state,region
2024 GMC Terrain SLE,New,30309,Hulett Chevy Buick GMC,4.9,44,"Camdenton, MO",tel:+1-573-693-4677,Camdenton,MO
2024 Cadillac LYRIQ Luxury,New,72815,Parker Cadillac,4.2,286,"Little Rock, AR",tel:+1-501-392-3027,Little Rock,AR
2024 Mercedes-Benz Sprinter 2500 Standard Roof,New,60173,Mercedes-Benz of McKinney,4.9,674,"McKinney, TX",tel:+1-888-650-0079,McKinney,TX
2024 Mazda CX-30 Base,New,26820,Mccurley Mazda,4.9,746,"Pasco, WA",tel:+1-509-412-3193,Pasco,WA
2024 Alfa Romeo Giulia Ti,New,50370,Greenway FIAT of East Orlando,3.5,149,"Orlando, FL",tel:+1-407-287-5104,Orlando,FL
2024 Ford Edge SE,New,39363,Legacy Ford of Corbin,0.0,12,"Corbin, KY",tel:+1-888-379-8022,Corbin,KY
2024 Mercedes-Benz EQS 580 Base 4MATIC,New,137155,Mercedes-Benz Of Bend,4.9,65,"Bend, OR",tel:+1-866-528-9820,Bend,OR
2024 Nissan Kicks SV,New,23901,South Park Nissan,4.4,55,"San Antonio, TX",tel:+1-855-875-4188,San Antonio,TX
2024 GMC Terrain AT4,New,41637,Chevrolet GMC of Fairbanks,4.5,737,"Fairbanks, AK",tel:+1-877-839-5049,Fairbanks,AK
2024 Hyundai Elantra HEV Limited,New,31165,Hyundai of Jasper,0.0,124,"Jasper, AL",tel:+1-205-544-2696,Jasper,AL
2024 Ford Edge SEL,New,39495,AutoNation Ford Tustin,4.5,1726,"Tustin, CA",tel:+1-888-435-1472,Tustin,CA
2024 GMC Sierra 2500 Base,New,88150,Orange Buick GMC,4.5,3226,"Orlando, FL",tel:+1-888-239-0624,Orlando,FL
2024 GMC Terrain SLE,New,35495,Chevrolet GMC of Fairbanks,4.5,737,"Fairbanks, AK",tel:+1-877-839-5049,Fairbanks,AK
2024 Chevrolet Malibu RS,New,25515,Palm Chevrolet,4.5,1061,"Ocala, FL",tel:+1-352-261-0412,Ocala,FL
2024 Mazda CX-5 2.5 S Carbon Edition,New,32848,Dahl Automotive La Crosse,4.6,1302,"La Crosse, WI",tel:+1-608-498-4380,La Crosse,WI
2024 Chevrolet Equinox RS,New,32625,Davis Gainesville Chevrolet Mazda,4.6,767,"Gainesville, FL",tel:+1-888-903-5119,Gainesville,FL
2024 Chevrolet Equinox RS,New,32625,Davis Gainesville Chevrolet Mazda,4.6,767,"Gainesville, FL",tel:+1-888-903-5119,Gainesville,FL
2024 Kia Soul LX,New,21990,Haddad Dodge Ram,0.0,370,"Bakersfield, CA",tel:+1-661-241-9190,Bakersfield,CA
2023 Ford Mustang Mach-E Premium,New,54290,County Ford,3.9,335,"Graham, NC",tel:+1-877-227-9740,Graham,NC
2024 Mercedes-Benz AMG EQE Base,New,118150,Fletcher Jones Motorcars of Fremont,4.4,1231,"Fremont, CA",tel:+1-510-270-5875,Fremont,CA
2024 Jaguar I-PACE HSE,New,76153,Land Rover Jaguar San Diego,4.2,212,"San Diego, CA",tel:+1-866-914-3165,San Diego,CA
